Station,Year,Julian_day,Hr/Min,Bvolt,Ptemp,Solar,Rain,Ambient,Humidity,WD,WS,BaromP,Atmometer,SoilT ,SoilT,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM
133,2013,8,1500,11.73,14.99,1.428,0,11.2,46.07,195.7,1.097,996,0.201,6.792,8.47,3.686,3.05,2.013,18.14,1.405,9.78,1.331,1.535,-18,-16,-12,-86,-10,-44,-9,-10
133,2013,8,1600,11.66,15.67,1.021,0,12.34,43.74,229.4,1.056,996,0.2,7.85,9.1,3.646,3.011,2.013,17.86,1.403,9.78,1.33,1.535,-18,-16,-12,-86,-10,-45,-10,-10
133,2013,8,1700,11.48,15.26,0.45,0,12.16,45.12,213.8,0.89,996,0.2,8.84,9.64,3.601,2.974,2.012,17.87,1.403,9.79,1.33,1.535,-18,-16,-12,-87,-10,-45,-10,-10
133,2013,8,1800,11.26,12.5,0.039,0,9.6,56.91,222.4,0.606,995,0.2,9.77,10.24,3.561,2.944,2.009,18.26,1.403,9.8,1.33,1.536,-18,-16,-12,-90,-10,-46,-10,-10
133,2013,8,1900,11.21,8.81,0,0,7.03,67.55,247.3,0.227,995,0.2,9.67,9.98,3.531,2.928,2.005,18.7,1.403,9.8,1.332,1.536,-18,-16,-12,-92,-10,-45,-10,-10
133,2013,8,2000,11.18,6.314,0,0,5.698,76.3,267.2,0.137,996,0.2,9.11,9.38,3.518,2.925,2.003,19.07,1.404,9.83,1.334,1.536,-18,-16,-12,-93,-10,-45,-10,-10
133,2013,8,2100,11.15,4.831,0,0,4.756,82.3,250.4,0.136,996,0.2,8.91,9.26,3.514,2.927,1.999,19.4,1.405,9.86,1.332,1.536,-18,-16,-12,-95,-10,-45,-10,-10
133,2013,8,2200,11.13,3.808,0,0,4.163,84,83.3,0.203,996,0.2,8.57,8.98,3.525,2.935,1.995,19.67,1.404,9.86,1.332,1.537,-18,-16,-12,-96,-10,-45,-10,-10
133,2013,8,2300,11.1,3.576,0,0,3.994,84.3,74.1,0.086,996,0.2,8.35,8.93,3.533,2.945,1.991,19.88,1.403,9.87,1.333,1.537,-18,-16,-12,-97,-10,-45,-10,-10
133,2013,8,2400,11.07,3.286,0,0,3.492,85.6,225.3,0.182,996,0.2,8.34,9.04,3.542,2.956,1.986,20.08,1.402,9.87,1.334,1.537,-18,-16,-12,-99,-10,-45,-10,-10
*missing data - battery failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2013,17,100,12.69,5.605,0,1.252,5.177,93.2,148.9,0.621,987,0.201,9.46,10.55,3.093,2.337,2.585,12.54,1.483,9.15,1.492,1.484,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,200,12.69,5.694,0,0.939,5.311,93.4,109.1,0.622,988,0.202,9.38,10.59,3.096,2.339,2.581,12.5,1.484,9.14,1.493,1.483,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,300,12.69,5.777,0,0.626,5.32,93,156.8,1.004,987,0.215,9.39,10.59,3.097,2.34,2.579,12.46,1.486,9.12,1.495,1.483,-17,-14,-15,-59,-10,-43,-10,-10
133,2013,17,400,12.69,5.7,0,0.939,5.209,92.5,145.5,1.173,987,0.206,9.39,10.64,3.1,2.342,2.578,12.43,1.488,9.12,1.497,1.482,-17,-14,-15,-59,-10,-43,-10,-10
